ID,EC1,EC2,EC3,EC4,EC5,EC6,SI1,SI2,SI3,SI4,PBC1,PBC2,PBC3,PBC4,PBC5,CNS1,CNS2,CNS3,CNS4,CNS5,CNS6,CNS7,CNS8,GC1,GC2,GC3,GC4,GC5,GC6,GC7,GC8,GC9,GC10,GC11,GC12,GC13,PM1,PM2,PM3,PM4,PM5,Gender,Age,Marital_status,Education,Ethnicity,No_household,Income,Occupation,Work_category,TotalEC,TotalSI,TotalPBC,TotalCNS,TotalGC
339,5,1,5,5,5,5,3,4,5,5,4,4,3,3,1,1,1,4,1,1,1,1,1,4,4,3,4,2,2,2,3,3,1,4,3,3,4,3,4,4,4,1,4,1,6,3,2,6,1,6,16,17,15,11,38
340,3,3,3,3,4,4,3,3,3,3,3,4,4,4,4,3,3,4,3,4,3,3,3,5,5,4,3,2,2,2,4,4,3,4,4,4,5,3,5,5,5,2,3,2,6,1,1,3,1,6,12,12,19,26,46
341,4,4,4,4,4,4,3,2,4,4,4,4,4,4,4,2,2,4,2,4,2,2,2,5,5,4,3,2,2,2,4,4,3,4,4,4,5,3,5,5,2,2,4,4,5,1,1,4,1,5,16,13,20,20,46
342,4,3,3,2,4,5,4,4,3,3,3,3,2,2,3,3,3,4,2,3,3,2,2,4,4,4,3,4,3,3,2,2,2,4,4,4,5,3,5,4,2,2,4,1,3,1,2,2,2,2,12,14,13,22,43
343,4,3,3,4,4,5,4,3,4,3,5,4,4,4,3,3,3,2,3,3,2,4,2,4,4,5,4,3,2,2,3,5,4,4,4,3,4,3,2,1,5,1,3,1,3,1,2,2,7,4,14,14,20,22,47
344,3,4,4,4,5,2,4,4,4,4,4,3,4,4,5,4,4,5,5,3,4,4,4,5,5,4,4,4,4,5,5,4,3,5,5,4,2,1,4,1,1,2,6,3,3,1,2,1,5,14,15,16,20,33,57
345,3,3,4,4,5,5,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,3,3,5,5,4,4,4,3,3,4,4,4,4,4,3,1,2,5,3,4,1,3,1,3,1,2,2,7,11,14,14,20,29,51
346,3,3,4,4,5,5,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,3,3,4,3,3,4,4,3,3,4,4,4,4,4,3,2,2,5,3,4,2,3,4,3,1,2,2,7,13,14,14,20,29,47
347,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,4,5,5,5,3,4,5,5,5,5,5,3,3,5,5,3,4,4,4,4,1,4,4,3,2,3,1,5,1,2,3,1,1,20,19,25,34,56
348,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,3,3,4,3,4,4,4,4,3,3,3,3,4,3,4,4,4,4,2,4,2,3,2,6,1,4,2,1,2,6,6,16,16,19,27,47
